Abordagem, Tamanho_Matriz, Numero_Threads, Tempo_Inicializacao, Tempo_Multiplicacao, Tempo_Escrita
matrizSeq, 500x500, -, 6.874000e-03, 3.504883e-01, 4.902945e-03
matrizSeq, 500x500, -, 6.331742e-03, 3.506716e-01, 4.632940e-03
matrizSeq, 500x500, -, 6.591900e-03, 3.511962e-01, 4.115158e-03
matrizSeq, 500x500, -, 6.402175e-03, 3.503118e-01, 4.221128e-03
matrizSeq, 500x500, -, 6.715862e-03, 3.504468e-01, 4.660562e-03
matrizSeq, 1000x1000, -, 2.157271e-02, 2.798895e+00, 1.221267e-02
matrizSeq, 1000x1000, -, 2.035235e-02, 2.796281e+00, 1.195440e-02
matrizSeq, 1000x1000, -, 1.945701e-02, 2.795365e+00, 1.245928e-02
matrizSeq, 1000x1000, -, 2.011158e-02, 2.830106e+00, 1.277454e-02
matrizSeq, 1000x1000, -, 1.937823e-02, 2.802492e+00, 1.274764e-02
matrizSeq, 2000x2000, -, 7.482392e-02, 2.311179e+01, 4.457439e-02
matrizSeq, 2000x2000, -, 7.530325e-02, 2.277957e+01, 4.455737e-02
matrizSeq, 2000x2000, -, 7.053276e-02, 2.275392e+01, 4.333266e-02
matrizSeq, 2000x2000, -, 7.182309e-02, 2.330945e+01, 4.349550e-02
matrizSeq, 2000x2000, -, 7.393709e-02, 2.319401e+01, 4.411031e-02
matrizConc, 500x500, 1, 7.768168e-03, 3.971129e-01, 5.513018e-03
matrizConc, 500x500, 1, 6.093246e-03, 3.922833e-01, 4.157720e-03
matrizConc, 500x500, 1, 6.275318e-03, 3.930392e-01, 4.071138e-03
matrizConc, 500x500, 1, 6.745516e-03, 3.965145e-01, 4.553862e-03
matrizConc, 500x500, 1, 6.042011e-03, 4.080290e-01, 4.202453e-03
matrizConc, 500x500, 2, 6.465015e-03, 2.090207e-01, 4.623162e-03
matrizConc, 500x500, 2, 6.851920e-03, 1.967892e-01, 4.487327e-03
matrizConc, 500x500, 2, 6.386205e-03, 1.969608e-01, 4.452612e-03
matrizConc, 500x500, 2, 6.119676e-03, 1.968541e-01, 4.125039e-03
matrizConc, 500x500, 2, 6.027675e-03, 1.993409e-01, 4.498294e-03
matrizConc, 500x500, 4, 6.544762e-03, 1.476048e-01, 4.040821e-03
matrizConc, 500x500, 4, 6.108646e-03, 1.461337e-01, 4.294473e-03
matrizConc, 500x500, 4, 6.400902e-03, 1.153361e-01, 4.046809e-03
matrizConc, 500x500, 4, 6.052759e-03, 1.274514e-01, 4.131770e-03
matrizConc, 500x500, 4, 6.498656e-03, 1.542521e-01, 5.687303e-03
matrizConc, 500x500, 8, 6.326224e-03, 9.343336e-02, 4.022573e-03
matrizConc, 500x500, 8, 6.182206e-03, 8.706140e-02, 4.027345e-03
matrizConc, 500x500, 8, 6.254482e-03, 9.346369e-02, 3.882564e-03
matrizConc, 500x500, 8, 6.534685e-03, 8.030137e-02, 3.927768e-03
matrizConc, 500x500, 8, 6.359815e-03, 8.150507e-02, 3.846477e-03
matrizConc, 1000x1000, 1, 1.972827e-02, 3.151916e+00, 1.230577e-02
matrizConc, 1000x1000, 1, 1.982132e-02, 3.133810e+00, 1.258928e-02
matrizConc, 1000x1000, 1, 1.962594e-02, 3.137442e+00, 1.406043e-02
matrizConc, 1000x1000, 1, 2.237896e-02, 3.133035e+00, 1.266224e-02
matrizConc, 1000x1000, 1, 2.024136e-02, 3.134644e+00, 1.189246e-02
matrizConc, 1000x1000, 2, 1.842388e-02, 1.569744e+00, 1.132498e-02
